Product,CVE Name,Publisher,CVE Severity,CVSS 3 Vector,In CISA  S KEV,CVE Publish Date,CVSS 3 Base Score,CVE Detected Date,CVSS 2 Base Score,Patch Release Date,Vulnerability Link,Vulnerability Summary,CVSS 3 Exploitability Score,Patch,Edition,Version,Endpoint,Sub Version,Organization,Product Raw Entry
SQL Server 2019,CVE-2024-21425,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,07/09/24 17:15:00,8.8,01/18/26 23:29:55,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/372549/CVE-2024-21425,SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL36-PRABHAK,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
SQL Server 2019,CVE-2024-21331,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,07/09/24 17:15:00,8.8,01/18/26 23:29:55,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/372558/CVE-2024-21331,SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL36-PRABHAK,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
SQL Server 2019,CVE-2024-29984,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,04/09/24 17:16:00,8.8,01/18/26 23:29:55,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/358546/CVE-2024-29984,Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL36-PRABHAK,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
SQL Server 2019,CVE-2024-29985,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,04/09/24 17:16:00,8.8,01/18/26 23:29:55,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/358545/CVE-2024-29985,Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL36-PRABHAK,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
SQL Server 2019,CVE-2024-21335,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,07/09/24 17:15:00,8.8,01/18/26 23:29:55,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/372555/CVE-2024-21335,SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL36-PRABHAK,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
Windows 11,CVE-2026-20936,Microsoft,Medium,CVSS:3.1/AV:P/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,No,01/13/26 18:16:00,4.3,01/17/26 10:29:42,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/440997/CVE-2026-20936,Out-of-bounds read in Windows NDIS allows an authorized attacker to disclose information with a physical attack.,0.7,,*,24H2,CIPLMD10,*,Claimpower,Microsoft_Microsoft Windows 11 Pro_24H2_x64_
SQL Server 2019,CVE-2024-21308,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,07/09/24 17:15:00,8.8,01/18/26 23:29:55,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/372560/CVE-2024-21308,SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL36-PRABHAK,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
SQL Server 2019,CVE-2024-21333,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,07/09/24 17:15:00,8.8,01/18/26 23:29:55,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/372556/CVE-2024-21333,SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL36-PRABHAK,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
Asp.net Core,CVE-2025-24070,Microsoft,High,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:H,No,03/11/25 17:16:00,7,01/24/26 15:24:03,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/397848/CVE-2025-24070,Weak authentication in ASP.NET Core &amp. Visual Studio allows an unauthorized attacker to elevate privileges over a network.,2.2,,,8.0.6,CIPLL26-RICHARD,*,Claimpower,Microsoft Corporation_Microsoft ASP.NET Core 8.0.6 Targeting Pack (x64)_8.0.6.24269_x64_
Windows 11,CVE-2026-20939,Microsoft,Medium,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,No,01/13/26 18:16:00,5.5,01/17/26 10:29:42,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/440994/CVE-2026-20939,Exposure of sensitive information to an unauthorized actor in Windows File Explorer allows an authorized attacker to disclose information locally.,1.8,,*,24H2,CIPLMD10,*,Claimpower,Microsoft_Microsoft Windows 11 Pro_24H2_x64_
Windows 11,CVE-2026-20938,Microsoft,High,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,No,01/13/26 18:16:00,7.8,01/17/26 10:29:42,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/440995/CVE-2026-20938,Untrusted pointer dereference in Windows Virtualization-Based Security (VBS) Enclave allows an authorized attacker to elevate privileges locally.,1.8,,*,24H2,CIPLMD10,*,Claimpower,Microsoft_Microsoft Windows 11 Pro_24H2_x64_
Windows 11,CVE-2026-20937,Microsoft,Medium,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,No,01/13/26 18:16:00,5.5,01/17/26 10:29:42,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/440996/CVE-2026-20937,Exposure of sensitive information to an unauthorized actor in Windows File Explorer allows an authorized attacker to disclose information locally.,1.8,,*,24H2,CIPLMD10,*,Claimpower,Microsoft_Microsoft Windows 11 Pro_24H2_x64_
SQL Server 2019,CVE-2024-29982,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,04/09/24 17:16:00,8.8,01/18/26 23:29:55,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/358548/CVE-2024-29982,Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL36-PRABHAK,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
SQL Server 2019,CVE-2024-29983,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,04/09/24 17:16:00,8.8,01/18/26 23:29:55,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/358547/CVE-2024-29983,Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL36-PRABHAK,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
.NET,CVE-2021-27434,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,No,05/20/21 14:15:00,7.5,01/19/26 03:11:04,5,N/A,https://www.vicarius.io/vsociety/vulnerabilities/277232/CVE-2021-27434,"Products with Unified Automation .NET based OPC UA Client/Server SDK Bundle: Versions V3.0.7 and prior (.NET 4.5, 4.0, and 3.5 Framework versions only) are vulnerable to an uncontrolled recursion, which may allow an attacker to trigger a stack overflow.",3.9,,,4.0,CIPLMD82,*,Claimpower,Microsoft_.NET Framework 4.0 Full_4.0_x64_
