Hostname,BIOS Serial Number,Processor,Total Physical Memory,Storage,System Model,System Manufacturer,Last Logged In User,Device Health,MAC Addresses
PKFC-EDR,5CD3301VJ9,13th Gen Intel(R) Core(TM) i5-1335U,15.64 GB,"C:\ 3.532172E11, F:\ 1.572854E11",HP ProBook 450 15.6 inch G10 Notebook PC,HP,eduhirwe,All good,"ce5ef831da01, c25ef831da01, 00090ffe0001, cc5ef831da01, bc0ff38dab51"
PKFC-MGN,5CD231C3W1,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,"C:\ 3.217632E11, D:\ 1.887426E11",HP ProBook 450 G8 Notebook PC,HP,mnyirabenda,All good,"00090faa0001, 546ceb0984d7, 566ceb0984d6, 5c60babc56c2, 00090ffe0001, 12955f36dc39, 546ceb0984da"
PKFC-MHW,5CD116H48S,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,"C:\ 3.00756E11, D:\ 2.097142E11",HP ProBook 450 G8 Notebook PC,HP,mwambui,All good,"a46bb6fac739, 00090ffe0001, 86979b4f2251"
PKFC-MOO,5CD116H45L,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,"C:\ 3.004098E11, D:\ 2.097142E11",HP ProBook 450 G8 Notebook PC,HP,molande,All good,"a46bb6fbed26, 00090ffe0001, a46bb6fbed25, a46bb6fbed29, b0227ae5ee33"
PKFC-MWN,5CD116H498,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,"C:\ 4.870531E11, D:\ 2.295333E10",HP ProBook 450 G8 Notebook PC,HP,mwanjiru,Unverified,"70cf497cec2e, 72cf497cec2d, 00090ffe0001, 70cf497cec2d, 70cf497cec31, b0227ae5f0a3, 000000000000"
PKFC-RI,5CD231C2MV,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,"C:\ 2.480861E11, D:\ 2.62143E11",HP ProBook 450 G8 Notebook PC,HP,riradukunda,Needs attention,"00090faa0001, d4548ba39b8a, 00090ffe0001, d4548ba39b89, d4548ba39b8d, 5c60babc5b94"
PKFKSMAD,CZ151102TU,Intel(R) Xeon(R) CPU E3-1220 v3 @ 3.10GHz,23.84 GB,"C:\ 1.155043E11, F:\ 8.308214E11",ProLiant ML310e Gen8 v2,HP,ADMINISTRATOR,Critical,"ecb1d7f401b9, ecb1d7f401b8"
PKFMLD-JCC,1H84393845,Intel(R) Core(TM) Ultra 7 155U,7.46 GB,C:\ 5.110864E11,HP ProBook 460 16 inch G11 Notebook PC,HP,jchea,Critical,"e08f4c571b1b, e28f4c571b1a, 00090ffe0001, e08f4c571b1a, 246a0ea28692"
PKFMLD-KMMNEW,5CD2448N0Q,12th Gen Intel(R) Core(TM) i5-1235U,7.64 GB,C:\ 5.110864E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,mkufanyiza,Critical,"00090faa0001, 7c57585ca231, 12b1df542069, 00090ffe0001, 10b1df542069, 10b1df54206a"
PKFMLD-USS1,1H843937S1,Intel(R) Core(TM) Ultra 7 155U,7.46 GB,C:\ 5.112207E11,HP ProBook 460 16 inch G11 Notebook PC,HP,umsaid,Critical,"00090ffe0001, 00090faa0001, 246a0ea28527, e08f4c582321, e28f4c582320, e08f4c582320"
PKFMSA-AAS1,1H843938YZ,Intel(R) Core(TM) Ultra 7 155U,7.46 GB,C:\ 5.111242E11,HP ProBook 460 16 inch G11 Notebook PC,HP,aaliyan,All good,"00090faa0001, e08f4c5859ef, 00090ffe0001, e08f4c5859ee, 246a0ea25b75"
PKFMSA-AST,5CD124S1WX,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.73 GB,C:\ 5.112207E11,HP ProBook 450 G8 Notebook PC,HP,atipu,Unverified,"00090faa0001, 14857f006d52, 489ebd2e771a, 00090ffe0001, ae50d20f191e"
PKFMSA-BMA,5CD5250HMK,Intel(R) Core(TM) Ultra 7 155U,15.46 GB,C:\ 5.112207E11,HP ProBook 460 16 inch G11 Notebook PC,HP,bhumia,Unverified,"00090faa0001, 10b6769b4c50, 9c67d6885efb, 00090ffe0001, 9c67d6885efa"
PKFMSA-BMZ,5CD2152J1C,12th Gen Intel(R) Core(TM) i5-1240P,7.64 GB,C:\ 5.110382E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,bonifacen,All good,"00090faa0001, 847b57c5b8c3, 867b57c5b8c2, 846993497ab9, 00090ffe0001, 847b57c5b8c2"
PKFMSA-CMM,5CD5250HMN,Intel(R) Core(TM) Ultra 7 155U,15.46 GB,C:\ 5.112207E11,HP ProBook 460 16 inch G11 Notebook PC,HP,cmumbi,All good,"00090faa0001, 9c67d6853320, 9e67d685331f, 00090ffe0001, 9c67d685331f, 10b6769b4c4b"
PKFMSA-COA,5CD3298F7V,13th Gen Intel(R) Core(TM) i5-1335U,7.64 GB,C:\ 5.110791E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,cadede,All good,"02410ed13017, 06410ed13017, 00090ffe0001, 00410ed13017, 00410ed13018, bc0ff38d282b"
PKFMSA-FBR0,5CD3298F7S,13th Gen Intel(R) Core(TM) i5-1335U,7.64 GB,C:\ 5.110801E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,fali,All good,"00090faa0001, bc0ff38d2828, 02410ed12ff7, 06410ed12ff7, 00090ffe0001, 00410ed12ff7"
PKFMSA-FMHNEW,5CD23506KY,12th Gen Intel(R) Core(TM) i7-1255U,7.64 GB,C:\ 5.110581E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,amers,All good,"00090ffe0001, 222b20be7061, 262b20be7061, 202b20be7061, 202b20be7062, 5c60babbbb02"
PKFMSA-FMY1,5CD2448N0K,12th Gen Intel(R) Core(TM) i5-1235U,7.64 GB,C:\ 5.110718E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,fyusuf,Unverified,"00090faa0001, 12b1df544571, 00090ffe0001, 10b1df544571, 7c57585ca22e"
PKFMSA-GKK1,5CD23506JK,12th Gen Intel(R) Core(TM) i7-1255U,7.64 GB,C:\ 5.11055E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,gkatana,All good,"00090faa0001, 222b20be862b, 262b20be862b, 00090ffe0001, 202b20be862b, 5c60babbbc21"
PKFMSA-HDM,5CD140FLSM,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,C:\ 5.110445E11,HP ProBook 450 G8 Notebook PC,HP,hannahm,All good,"00090faa0001, 0c9a3c65d95d, 0e9a3c65d95c, e070eaaa7a29, 00090ffe0001, 0c9a3c65d95c"
PKFMSA-JFA,5CD5250HN0,Intel(R) Core(TM) Ultra 7 155U,15.46 GB,C:\ 5.112207E11,HP ProBook 460 16 inch G11 Notebook PC,HP,jabdallah,Unverified,"00090faa0001, f8edfc6969c1, 9c67d682f65a, 9e67d682f659, 9c67d682f659, 00090ffe0001"
PKFMSA-JKM1,5CD3298FB7,13th Gen Intel(R) Core(TM) i5-1335U,7.64 GB,C:\ 5.109858E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,jkombo,All good,"00090faa0001, bc0ff38d264b, 02410ed11697, 06410ed11697, 00090ffe0001, 00410ed11697"
PKFMSA-JM01,5CD151FV34,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,C:\ 5.109889E11,HP ProBook 450 G8 Notebook PC,HP,jmwangome,All good,"ac74b1ad6070, ae74b1ad606f, c85acfb9f2fd, 00090ffe0001, ac74b1ad606f"
PKFMSA-JOHN2,5CD538BD5C,Intel(R) Core(TM) Ultra 7 155U,15.46 GB,C:\ 5.111106E11,HP ProBook 460 16 inch G11 Notebook PC,HP,jmacharia,Unverified,"00090faa0001, acf4665430ea, c0a810252d4a, c0a810252d49, c0a810252d4d"
PKFMSA-JOSH,5CD3298F7W,13th Gen Intel(R) Core(TM) i5-1335U,7.64 GB,C:\ 5.110392E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,adudaj,Unverified,"00090faa0001, bc0ff38d282c, 02410ed12fcb, 00090ffe0001, 00410ed12fcb"
PKFMSA-KWRNEW,1H8439382Z,Intel(R) Core(TM) Ultra 7 155U,7.46 GB,C:\ 5.110864E11,HP ProBook 460 16 inch G11 Notebook PC,HP,krashid,All good,"00090faa0001, 246a0ea284bd, e08f4c564092, e28f4c564091, 00090ffe0001, e08f4c564091, e08f4c564095"
PKFMSA-LANEW,PF5QKP7P,Intel(R) Core(TM) Ultra 7 258V,31.48 GB,C:\ 9.99315E11,21NS0014US,LENOVO,labreu,Unverified,"2a92002ee52d, 2892002ee52e, 00090ffe0001, 2892002ee52d"
PKFMSA-LBZ1,5CD3298F81,13th Gen Intel(R) Core(TM) i5-1335U,7.64 GB,C:\ 5.110801E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,lzawadi,Unverified,"00090faa0001, 02410ed111b5, 06410ed111b5, 00090ffe0001, 00410ed111b5, bc0ff38d2826"
PKFMSA-MKJ1,5CD2448MGT,12th Gen Intel(R) Core(TM) i5-1235U,7.64 GB,C:\ 5.110728E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,jmwambire,All good,"00090faa0001, 12b1df53aa33, 16b1df53aa33, 00090ffe0001, 10b1df53aa33, 7c57585ca3a2"
PKFMSA-MMM,5CD2448MHH,12th Gen Intel(R) Core(TM) i5-1235U,7.64 GB,C:\ 5.111682E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,mmunene,All good,"00090faa0001, 12b1df53aad3, 16b1df53aad3, 7c57585ca3fb, 00090ffe0001, 10b1df53aad3"
PKFMSA-MMN,5CD3298F94,13th Gen Intel(R) Core(TM) i5-1335U,7.64 GB,C:\ 5.110812E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,nuseibam,All good,"00090ffe0001, 00090faa0001, 00155d0a0900, 02410ed11179, 06410ed11179, bc0ff38d27fc, ee1c3df36d43"
PKFMSA-NNA,5CD235069S,12th Gen Intel(R) Core(TM) i7-1255U,7.64 GB,C:\ 5.110403E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,naweeda,Unverified,"00090faa0001, 222b20be4341, 00090ffe0001, 5c60babbbacd, 202b20be4341, 202b20be4342"
PKFMSA-PR01,PF3VDFFR,11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,15.7 GB,C:\ 5.097222E11,20XW00FVUS,LENOVO,No Data,Unverified,"48684aa01c8a, 4a684aa01c89, 00090ffe0001, 48684aa01c89, 48684aa01c8d"
PKFMSA-RCC1,1H843937MF,Intel(R) Core(TM) Ultra 7 155U,7.46 GB,C:\ 5.110476E11,HP ProBook 460 16 inch G11 Notebook PC,HP,ffakhruddin,All good,"00090faa0001, 246a0ea28647, e08f4c5957e6, 00090ffe0001, e08f4c5957e5"
PKFMSA-SWONEW,5CD235069R,12th Gen Intel(R) Core(TM) i7-1255U,7.64 GB,C:\ 5.110959E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,somar,All good,"00090faa0001, 222b20be4359, 262b20be4359, 00090ffe0001, 202b20be4359, 5c60babbbabe"
PKFMSA-WWN1,1H8439392K,Intel(R) Core(TM) Ultra 7 155U,7.46 GB,C:\ 5.111242E11,HP ProBook 460 16 inch G11 Notebook PC,HP,wndunge,All good,"00090faa0001, 246a0ea25d59, e08f4c5a560f, e28f4c5a560e, 00090ffe0001, e08f4c5a560e"
PKFNKR-AD,CZ1510040S,Intel(R) Xeon(R) CPU E3-1220 v3 @ 3.10GHz,23.96 GB,"C:\ 1.462795E11, D:\ 1.000015E12, E:\ 8.533133E11",ProLiant ML310e Gen8 v2,HP,No Data,Critical,"5065f3799d5d, 5065f3799d5c"
PKFRW-AD,5707-7552-1859-6493-5016-2171-95,Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz,5.7 GB,C:\ 2.743001E11,Virtual Machine,Microsoft Corporation,No Data,Critical,00155d0ac816
PKFRW-BCKSVR,7683-7807-5137-1167-7653-3117-36,Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz,1.99 GB,"C:\ 1.356528E12, D:\ 3.04087E12",Virtual Machine,Microsoft Corporation,No Data,Needs attention,00155d0ac805
