Endpoint,IP,OS,Group,Agent Version,System status,First Seen,Last Seen,Antivirus Database Version,EPP Best Practice,Open Alerts,Vulnerabilities,Misconfigurations
MACML81,100.63.27.13,Windows,Manually Installed Agents,4.31.0.19139,OK,"18 Dec 2025, 15:23","13 Feb 2026, 18:00",8.20.71.184,Yes,0,3,51
MACML80,172.20.100.54,Windows,Manually Installed Agents,4.30.1.18852,OK,"27 Jan 2026, 15:59","27 Jan 2026, 23:42",8.20.71.144,Yes,0,2,33
MACML79,192.168.104.165,Windows,Manually Installed Agents,4.31.0.19214,OK,"05 Dec 2025, 09:44","17 Feb 2026, 16:52",8.20.72.160,Yes,0,2,24
MACML78,10.160.24.5,Windows,Manually Installed Agents,4.31.0.19214,OK,"03 Dec 2025, 20:34","17 Feb 2026, 01:45",8.20.72.152,Yes,0,1,19
MACML775,192.168.104.119,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 06:14","20 Feb 2026, 17:08",8.20.72.192,Yes,0,2,55
MACML723,172.20.100.94,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:23","21 Feb 2026, 11:45",8.20.72.206,Yes,0,2,56
MACML722,172.20.80.246,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 11:23","20 Feb 2026, 20:49",8.20.72.196,Yes,0,32,57
MACML714,172.20.100.97,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:13","20 Feb 2026, 18:10",8.20.72.192,Yes,0,1,52
MACML712,192.168.0.190,Windows,Manually Installed Agents,4.31.0.19139,OK,"13 Dec 2025, 18:36","14 Feb 2026, 12:45",8.20.69.168,Yes,0,3,25
MACML70,192.168.7.209,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:27","21 Feb 2026, 13:53",8.20.72.206,Yes,0,2,53
MACML699,192.168.29.225,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:43","21 Feb 2026, 16:01",8.20.72.216,Yes,0,3,56
MACML698,172.20.100.43,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:20","20 Feb 2026, 17:47",8.20.72.192,Yes,0,3,56
MACML696,192.168.31.141,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 05:56","21 Feb 2026, 11:05",8.20.72.206,Yes,0,3,23
MACML695,172.20.100.69,Windows,Manually Installed Agents,4.31.0.19214,OK,"09 Jan 2026, 16:29","20 Feb 2026, 17:59",8.20.72.192,Yes,0,1,52
MACML692,192.168.29.138,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:45","21 Feb 2026, 15:05",8.20.72.192,Yes,0,17,56
MACML689,172.20.131.48,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:20","19 Feb 2026, 15:47",8.20.72.180,Yes,0,3,57
MACML68,192.168.0.101,Windows,Manually Installed Agents,4.30.1.19100,OK,"09 Dec 2025, 13:17","07 Feb 2026, 15:16",8.20.69.216,Yes,0,3,3
MACML66,10.26.49.24,Windows,Manually Installed Agents,4.31.0.19214,OK,"03 Dec 2025, 11:33","20 Feb 2026, 17:34",8.20.72.130,Yes,0,2,31
MACML659,172.20.100.56,Windows,USB Alllowed Group,4.31.0.19214,OK,"01 Dec 2025, 09:58","20 Feb 2026, 20:52",8.20.72.186,Yes,0,3,50
MACML652,172.20.100.22,Windows,Manually Installed Agents,4.31.0.19214,OK,"04 Dec 2025, 08:37","20 Feb 2026, 17:46",8.20.72.192,Yes,0,4,56
MACML651,192.168.1.21,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:08","20 Feb 2026, 22:40",8.20.72.192,Yes,0,3,56
MACML65,192.168.0.165,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:19","21 Feb 2026, 16:09",8.20.72.212,Yes,0,1,53
MACML64,192.168.1.16,Windows,Manually Installed Agents,4.31.0.19139,OK,"12 Dec 2025, 16:19","14 Feb 2026, 10:38",8.20.69.238,Yes,0,2,49
MACML635,172.20.100.114,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:34","20 Feb 2026, 16:57",8.20.72.192,Yes,0,3,54
MACML63,172.20.100.117,Windows,Manually Installed Agents,4.31.0.19214,OK,"13 Feb 2026, 17:02","16 Feb 2026, 23:37",8.20.72.146,Yes,0,3,38
MACML63,172.20.80.179,Windows,Manually Installed Agents,4.31.0.19139,OK,"04 Dec 2025, 06:27","13 Feb 2026, 16:17",8.20.69.218,Yes,0,3,33
MACML626,172.20.100.41,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:30","20 Feb 2026, 18:06",8.20.72.192,Yes,0,3,53
MACML625,172.20.100.111,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 05:33","20 Feb 2026, 19:02",8.20.72.196,Yes,0,9,56
MACML623,172.20.100.100,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:20","20 Feb 2026, 18:18",8.20.72.200,Yes,0,2,56
MACML622,10.162.223.194,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 07:58","20 Feb 2026, 15:40",8.20.72.192,Yes,0,2,57
MACML62,172.20.100.64,Windows,Manually Installed Agents,4.31.0.19139,OK,"11 Feb 2026, 15:43","11 Feb 2026, 16:22",8.20.72.70,Yes,0,0,0
MACML618,192.168.104.45,Windows,USB Alllowed Group,4.31.0.19214,OK,"01 Dec 2025, 09:49","20 Feb 2026, 20:53",8.20.72.196,Yes,0,3,53
MACML613,192.168.1.31,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:48","21 Feb 2026, 15:25",8.20.72.216,Yes,0,2,55
